Word		Count
-------------------------------------------
the		24
of		23
a		16
to		15
and		12
it		11
in		9
on		7
for		6
text		6
or		6
words		5
an		4
are		4
was		4
with		4
that		4
from		4
who		4
said		4
about		3
sure		3
at		3
be		3
by		3
Monday		3
some		3
block		3
even		3
have		3
Americans		3
were		3
no		3
their		3
I've		2
resident		2
them		2
as		2
millions		2
does		2
one		2
There		2
us		2
article		2
sections		2
parts		2
anything		2
news		2
print		2
what		2
time		2
Landsman		2
large		2
I'm		2
local		2
me		2
it's		2
my		2
confronted		2
important		2
Thomson		2
afternoon		2
English		2
nation		1
desperate		1
Ow		1
buried		1
would		1
scanned		1
meaning		1
blankly		1
let		1
doesn't		1
they		1
solid		1
agreement		1
remain		1
containing		1
want		1
Shelton		1
uninterrupted		1
frozen		1
California		1
whose		1
click		1
flood		1
impenetrable		1
slow		1
left		1
letter		1
looking		1
mound		1
much		1
least		1
I		1
eyes		1
Paul		1
long		1
seen		1
pop		1
repetitively		1
As		1
search		1
At		1
stretched		1
same		1
wailed		1
frightening		1
reported		1
after		1
so		1
embedded		1
But		1
boldface		1
though		1
highlighted		1
black		1
column		1
photo		1
right		1
deafening		1
single		1
halt		1
calm		1
photograph		1
After		1
illustration		1
chart		1
citizens		1
but		1
country		1
St		1
celebrity		1
won't		1
medical		1
Detroit		1
added		1
do		1
humorous		1
late		1
school		1
continue		1
segment		1
forgotten		1
This		1
serious		1
up		1
those		1
possibly		1
which		1
vowels		1
last		1
gazed		1
Janet		1
finally		1
this		1
For		1
whatever		1
syllables		1
never		1
take		1
italicize		1
letter-upon-letter		1
everywhere		1
shuttered		1
know		1
aloud		1
page		1
scholars		1
stared		1
next		1
allow		1
however		1
virtual		1
deep		1
string		1
mass		1
Mark		1
endless		1
video		1
title		1
What		1
expects		1
perhaps		1
Unable		1
3:16		1
now		1
daunting		1
ignore		1
Children		1
bullet		1
lines		1
highlighting		1
just		1
early		1
notice		1
figure		1
go		1
reading		1
way		1
grappled		1
alternating		1
gist		1
500		1
Dale		1
overwhelming		1
there		1
collectively		1
rise		1
rubbing		1
exhausted		1
binding		1
governments		1
Charlyne		1
when		1
attempt		1
review		1
sight		1
panicked		1
easily		1
hate		1
businesses		1
if		1
Boston		1
there's		1
grows		1
unbroken		1
Added		1
Whatever		1
nothing		1
vain		1
contract		1
bewildered		1
is		1
skimmed		1
Sources		1
YouTube		1
they'll		1
speculated		1
hoping		1
Some		1
Huza		1
never-ending		1
determined		1
recoiled		1
If		1
semblance		1
study		1
other		1
sentences		1
It		1
blurb		1
out		1
across		1
top		1
web		1
Without		1
get		1
ear		1
recall		1
place		1
confusing		1
everything		1
urgent		1
can't		1
product		1
may		1
heading		1
terrified		1
could		1
more		1
bombarded		1
culture		1
randomly		1
first		1
voice		1
sigh		1
before		1
WASHINGTON		1
tell		1
own		1
several		1
screen		1
while		1
him		1
points		1
reference		1
high		1
his		1
different		1
day		1
all		1
MN		1
read		1
like		1
everyone		1
cascade		1
minutes		1
bottom		1
kind		1
Why		1
italics		1
Dumbfounded		1
ground		1
unfazed		1
colorful		1
parents		1
here		1
ease		1
unsure		1
Maine		1
recipe		1
link		1
chunk		1
percent		1
around		1
point		1
450		1
holding		1
can		1
teacher		1
public		1
working		1
land		1
consonants		1
accompanying		1
heard		1
rest		1
pretty		1
cursing		1
looked		1
Chicago		1
will		1
also		1
concentration		1
say		1
enough		1
structure		1
hailstorm		1
helplessly		1
under-the-breath		1
unfamiliar		1
attention		1
temple		1
until		1
front		1
pm		1
slightest		1
user		1
worthwhile		1
demands		1
